,port,mas,mmv,,日期,原始,最大夏普,最小方差
2023/1/3,115.9879089,61.74660698,123.2952179,,2023/1/3,100,100,100
2023/1/4,115.8402603,62.01204332,123.5055998,,2023/1/4,99.87270351,100.42988,100.1706327
2023/1/5,119.1143441,62.05219243,123.4483857,,2023/1/5,102.6954838,100.4949024,100.1242286
2023/1/6,119.3852305,61.97083786,123.1980911,,2023/1/6,102.9290309,100.3631469,99.92122421
2023/1/9,120.6098739,61.93559419,123.2032054,,2023/1/9,103.984868,100.306069,99.92537221
2023/1/10,121.4376094,61.84833213,123.1337631,,2023/1/10,104.6985074,100.1647461,99.86905025
2023/1/11,120.9340967,61.78423503,123.0042774,,2023/1/11,104.2643995,100.0609395,99.76402943
2023/1/12,120.7781871,61.87307123,123.0387334,,2023/1/12,104.1299807,100.2048117,99.79197534
2023/1/13,122.775365,61.86303034,123.0688649,,2023/1/13,105.8518653,100.1885502,99.81641382
2023/1/16,123.7447046,61.61134843,122.9746313,,2023/1/16,106.6875899,99.78094578,99.73998457
2023/1/17,123.6137977,61.68414345,122.9837204,,2023/1/17,106.5747274,99.89883892,99.74735638
2023/1/18,123.185737,61.65879033,122.9656926,,2023/1/18,106.2056711,99.85777899,99.73273475
2023/1/19,122.8120774,61.69192378,122.9951775,,2023/1/19,105.8835171,99.91143934,99.7566488
2023/1/20,122.3536175,61.78914175,123.1160751,,2023/1/20,105.4882519,100.068886,99.85470424
2023/1/30,123.7963005,61.76184003,123.1184582,,2023/1/30,106.7320738,100.0246703,99.85663708
2023/1/31,122.1966794,61.80115785,123.1008438,,2023/1/31,105.3529464,100.0883463,99.84235067
2023/2/1,122.6005814,61.83943029,123.1519851,,2023/2/1,105.701174,100.1503294,99.88382938
2023/2/2,122.012977,61.88021525,123.2306826,,2023/2/2,105.1945657,100.2163816,99.94765796
2023/2/3,121.1598791,61.92856833,123.2713843,,2023/2/3,104.4590598,100.2946904,99.98066949
2023/2/6,120.2099938,61.95322319,123.2086337,,2023/2/6,103.6401078,100.3346195,99.92977495
2023/2/7,120.2213101,61.92738043,123.2268049,,2023/2/7,103.6498643,100.2927666,99.94451285
2023/2/8,119.7039302,61.88898851,123.2664472,,2023/2/8,103.2038006,100.23059,99.97666518
2023/2/9,121.0840797,61.91117949,123.2793189,,2023/2/9,104.3937087,100.2665288,99.98710498
2023/2/10,120.571902,61.91644234,123.3257244,,2023/2/10,103.9521302,100.2750521,100.0247426
2023/2/13,122.5240004,61.92056792,123.3385508,,2023/2/13,105.635149,100.2817336,100.0351457
2023/2/14,121.8410867,61.92664563,123.3411879,,2023/2/14,105.046369,100.2915766,100.0372845
2023/2/15,121.663784,61.9321079,123.3451017,,2023/2/15,104.8935059,100.3004229,100.0404589
2023/2/16,122.2347556,61.96461101,123.3316911,,2023/2/16,105.3857741,100.3530624,100.029582
2023/2/17,120.1675662,61.97404229,123.3403976,,2023/2/17,103.6035285,100.3683365,100.0366436
2023/2/20,122.0524471,61.90801192,123.2552083,,2023/2/20,105.2285952,100.2613989,99.96754981
2023/2/21,121.6410978,61.91341306,123.2160945,,2023/2/21,104.8739468,100.2701461,99.93582607
2023/2/22,120.4533191,61.96918658,123.2378197,,2023/2/22,103.8498929,100.3604726,99.95344652
2023/2/23,119.9623269,61.99621989,123.2363014,,2023/2/23,103.4265796,100.4042536,99.95221508
2023/2/24,118.6920866,61.97677335,123.2358368,,2023/2/24,102.3314307,100.3727595,99.95183829
2023/2/27,119.1815366,61.81298278,123.2141818,,2023/2/27,102.7534143,100.1074971,99.93427477
2023/2/28,119.4912683,61.91815468,123.1986134,,2023/2/28,103.0204523,100.2778253,99.92164787
2023/3/1,120.604969,61.9148195,123.2101283,,2023/3/1,103.9806392,100.2724239,99.93098709
2023/3/2,119.9164378,61.89935939,123.2347069,,2023/3/2,103.3870159,100.2473859,99.95092191
2023/3/3,119.6658277,61.9202046,123.2195076,,2023/3/3,103.1709502,100.2811452,99.93859431
2023/3/6,119.5207361,61.98058334,123.3044031,,2023/3/6,103.0458582,100.3789299,100.0074498
2023/3/7,118.6778209,62.03299604,123.3957312,,2023/3/7,102.3191314,100.4638134,100.0815225
2023/3/8,117.9724054,62.04881365,123.4602874,,2023/3/8,101.7109513,100.4894304,100.1338816
2023/3/9,117.9969551,62.16432977,123.4777201,,2023/3/9,101.732117,100.6765113,100.1480205
2023/3/10,117.6293395,62.29355696,123.5241026,,2023/3/10,101.4151739,100.8857976,100.1856396
2023/3/13,117.6662583,62.2396856,123.5188164,,2023/3/13,101.4470038,100.7985518,100.1813522
2023/3/14,117.8191293,62.37338439,123.5583469,,2023/3/14,101.5788029,101.0150799,100.2134138
2023/3/15,117.4027654,62.43547987,123.5293775,,2023/3/15,101.219831,101.1156449,100.1899179
2023/3/16,117.4200756,62.59416823,123.5837435,,2023/3/16,101.2347552,101.3726443,100.234012
2023/3/17,117.1460061,62.85053164,123.6510747,,2023/3/17,100.9984638,101.7878305,100.2886218
2023/3/20,116.9087651,62.95614617,123.7327105,,2023/3/20,100.7939244,101.9588755,100.3548334
2023/3/21,118.7764476,62.87704127,123.6767927,,2023/3/21,102.4041633,101.8307634,100.3094806
2023/3/22,118.9093725,62.88860843,123.6697879,,2023/3/22,102.5187656,101.8494967,100.3037993
2023/3/23,118.9855835,62.84549293,123.646818,,2023/3/23,102.5844717,101.7796702,100.2851693
2023/3/24,118.8761072,62.72229725,123.5959921,,2023/3/24,102.4900857,101.580152,100.2439464
2023/3/27,118.620006,62.82802341,123.6060141,,2023/3/27,102.2692858,101.7513779,100.2520748
2023/3/28,118.947895,62.8768471,123.6267779,,2023/3/28,102.5519782,101.8304489,100.2689156
2023/3/29,119.4323736,62.84187938,123.6545494,,2023/3/29,102.9696757,101.773818,100.2914399
2023/3/30,119.7196887,62.82415531,123.6890052,,2023/3/30,103.2173869,101.7451134,100.3193857
2023/3/31,120.6254747,62.85062871,123.7001571,,2023/3/31,103.9983183,101.7879877,100.3284306
2023/4/3,119.9966853,62.85904795,123.6948371,,2023/4/3,103.456202,101.8016228,100.3241158
2023/4/4,120.2577103,62.91618988,123.7356027,,2023/4/4,103.681247,101.8941655,100.3571792
2023/4/6,119.6963379,62.96035847,123.7728015,,2023/4/6,103.1972548,101.9656975,100.3873497
2023/4/7,119.6945347,63.02664747,123.8062362,,2023/4/7,103.1957002,102.073054,100.4144673
2023/4/10,119.3816212,63.07936297,123.9107327,,2023/4/10,102.9259191,102.1584279,100.4992204
2023/4/11,118.4360237,63.13812177,123.9534486,,2023/4/11,102.1106639,102.2535891,100.5338656
2023/4/12,116.6632606,63.26182262,123.9847453,,2023/4/12,100.5822605,102.4539253,100.5592491
2023/4/13,117.4110957,63.21648145,123.9552913,,2023/4/13,101.2270131,102.3804943,100.5353601
2023/4/14,117.4750148,63.30627712,123.9238692,,2023/4/14,101.2821215,102.5259204,100.5098749
2023/4/17,119.0938375,63.28587687,123.9000237,,2023/4/17,102.6778038,102.4928817,100.4905347
2023/4/18,119.1272845,63.28192103,123.9438165,,2023/4/18,102.7066404,102.4864752,100.5260533
2023/4/19,119.2477717,63.34877612,124.0150318,,2023/4/19,102.8105196,102.5947485,100.5838133
2023/4/20,118.3618595,63.41878843,123.9941555,,2023/4/20,102.0467225,102.7081349,100.5668813
2023/4/21,117.9111988,63.43043901,124.047387,,2023/4/21,101.6581814,102.7270033,100.6100554
2023/4/24,117.0292518,63.54549861,124.074663,,2023/4/24,100.897803,102.9133449,100.6321779
2023/4/25,117.4969235,63.57906709,124.0821136,,2023/4/25,101.3010103,102.9677098,100.6382208
2023/4/26,113.3323771,63.65526923,124.0598622,,2023/4/26,97.71050988,103.0911209,100.6201735
2023/4/27,114.133129,63.84093777,124.2359411,,2023/4/27,98.40088514,103.3918152,100.7629843
2023/4/28,114.3296785,63.88832814,124.2920798,,2023/4/28,98.57034208,103.4685649,100.8085163
2023/5/4,113.8365644,64.0242608,124.3991146,,2023/5/4,98.14519939,103.6887109,100.8953281
2023/5/5,113.9877639,64.23022822,124.6200621,,2023/5/5,98.27555735,104.0222797,101.0745301
2023/5/8,113.0234556,64.06498888,124.5604362,,2023/5/8,97.44417046,103.7546709,101.0261698
2023/5/9,112.823481,64.09256056,124.6054221,,2023/5/9,97.27176057,103.7993239,101.0626561
2023/5/10,113.2517781,64.31587673,124.7671531,,2023/5/10,97.64102068,104.1609894,101.1938299
2023/5/11,113.2688187,64.39128065,124.9375633,,2023/5/11,97.65571244,104.2831077,101.3320431
2023/5/12,112.7392908,64.27179293,124.8673583,,2023/5/12,97.19917527,104.0895947,101.2751025
2023/5/15,112.9714556,64.0325392,124.9367211,,2023/5/15,97.39933818,103.702118,101.33136
2023/5/16,112.4622929,63.91618048,124.8690891,,2023/5/16,96.96035909,103.5136724,101.2765063
2023/5/17,112.3693525,63.87207196,124.8573096,,2023/5/17,96.88022964,103.4422377,101.2669524
2023/5/18,111.9112671,63.96448726,124.8182282,,2023/5/18,96.4852873,103.5919063,101.235255
2023/5/19,112.2409494,64.13512005,124.9000157,,2023/5/19,96.76952577,103.8682499,101.3015897
2023/5/22,113.7931375,64.11735377,125.0536406,,2023/5/22,98.10775852,103.839477,101.4261889
2023/5/23,113.039958,64.29601564,125.3605858,,2023/5/23,97.45839811,104.1288239,101.6751404
2023/5/24,112.4339958,64.22155433,125.2856195,,2023/5/24,96.93596243,104.0082321,101.6143381
2023/5/25,111.9784833,64.13639188,125.129031,,2023/5/25,96.54323831,103.8703097,101.4873352
2023/5/26,111.5151651,64.06632483,125.1230325,,2023/5/26,96.14378446,103.7568345,101.48247
2023/5/29,111.4397372,64.22612293,125.1500958,,2023/5/29,96.0787536,104.0156311,101.50442
2023/5/30,111.0088036,64.22001459,125.2520224,,2023/5/30,95.70722039,104.0057385,101.5870888
2023/5/31,109.5861203,64.21061378,125.3153033,,2023/5/31,94.48064146,103.9905137,101.6384134
2023/6/1,109.9723166,64.30648854,125.4190715,,2023/6/1,94.81360399,104.145785,101.7225758
2023/6/2,111.2085472,64.1899896,125.2523419,,2023/6/2,95.87943117,103.9571124,101.5873479
2023/6/5,110.8287765,64.21887549,125.3751783,,2023/6/5,95.55200845,104.0038937,101.6869757
2023/6/6,110.8511787,64.2770632,125.4203291,,2023/6/6,95.57132268,104.09813,101.7235958
2023/6/7,110.0266596,64.33243101,125.5380267,,2023/6/7,94.86045632,104.1877994,101.8190558
2023/6/8,110.5890067,64.32176236,125.4811859,,2023/6/8,95.34528883,104.1705213,101.7729544
2023/6/9,110.6963855,64.51700775,125.5559323,,2023/6/9,95.43786642,104.4867255,101.8335784
2023/6/12,111.6795438,64.53975516,125.6266536,,2023/6/12,96.28550503,104.5235654,101.8909377
2023/6/13,112.0740107,64.76424737,125.766987,,2023/6/13,96.62559817,104.8871356,102.0047567
2023/6/14,113.0366396,64.79141972,125.8572324,,2023/6/14,97.45553712,104.9311418,102.0779513
2023/6/15,114.2675783,64.50118805,125.529535,,2023/6/15,98.51680178,104.4611051,101.8121685
2023/6/16,115.6695369,64.35544788,125.2651266,,2023/6/16,99.7255128,104.2250757,101.597717
2023/6/19,113.8238756,64.39267575,125.3000136,,2023/6/19,98.1342596,104.2853671,101.6260126
2023/6/20,113.7590579,64.39532931,125.3246435,,2023/6/20,98.07837646,104.2896646,101.645989
2023/6/21,113.4369464,64.55283889,125.4530958,,2023/6/21,97.80066518,104.5447548,101.7501716
2023/6/26,112.5127297,64.57066458,125.5261304,,2023/6/26,97.00384355,104.5736239,101.8094072
2023/6/27,112.4909788,64.4691415,125.4544,,2023/6/27,96.98509084,104.4092051,101.7512295
2023/6/28,113.1443153,64.54530207,125.4757019,,2023/6/28,97.54837073,104.5325488,101.7685066
2023/6/29,112.5796951,64.56790421,125.442474,,2023/6/29,97.06157844,104.5691535,101.7415567
2023/6/30,112.116602,64.75082421,125.6143715,,2023/6/30,96.66231862,104.8653965,101.8809762
2023/7/3,113.2649826,64.719435,125.6733736,,2023/7/3,97.65240506,104.8145609,101.9288305
2023/7/4,113.498514,64.70848576,125.6525015,,2023/7/4,97.85374625,104.7968284,101.9119019
2023/7/5,112.9221575,64.71058656,125.8314702,,2023/7/5,97.35683536,104.8002307,102.0570565
2023/7/6,112.4357433,64.77625378,125.8709946,,2023/7/6,96.93746912,104.9065802,102.0891133
2023/7/7,111.9404957,64.84610265,125.8823737,,2023/7/7,96.51048701,105.019702,102.0983424
2023/7/10,112.5474361,64.88617792,125.8763487,,2023/7/10,97.03376602,105.0846048,102.0934558
2023/7/11,112.9274097,64.95540695,125.8927336,,2023/7/11,97.36136365,105.1967227,102.1067449
2023/7/12,112.8799778,64.84496059,125.8885601,,2023/7/12,97.32046978,105.0178524,102.10336
2023/7/13,113.8306364,64.82800951,125.874844,,2023/7/13,98.14008853,104.9903998,102.0922354
2023/7/14,114.2399244,64.79268446,125.8348713,,2023/7/14,98.49295973,104.9331901,102.059815
2023/7/17,113.439207,64.90874158,125.9214695,,2023/7/17,97.80261422,105.1211471,102.1300515
2023/7/18,113.2247079,64.92622061,125.9997625,,2023/7/18,97.61768191,105.1494548,102.1935519
2023/7/19,113.0627521,64.93342636,126.0320657,,2023/7/19,97.47805024,105.1611247,102.2197518
2023/7/20,113.1723343,65.01686313,126.0280464,,2023/7/20,97.57252755,105.2962524,102.2164919
2023/7/21,114.870636,65.19784456,126.1549052,,2023/7/21,99.03673331,105.5893558,102.3193822
2023/7/24,114.8049245,65.2471781,126.1881927,,2023/7/24,98.98007957,105.6692526,102.3463804
2023/7/25,116.6736265,64.70574963,125.8777607,,2023/7/25,100.5911975,104.7923972,102.094601
2023/7/26,116.7182588,64.77910295,125.900251,,2023/7/26,100.6296776,104.9111945,102.112842
2023/7/27,117.1461597,64.9429785,126.0065522,,2023/7/27,100.9985962,105.1765946,102.1990588
2023/7/28,119.1678948,64.74600903,125.9246887,,2023/7/28,102.741653,104.8575982,102.1326625
2023/7/31,118.8294949,64.66483748,125.8127933,,2023/7/31,102.4498985,104.726139,102.0419084
2023/8/1,119.133348,64.84019337,125.9018471,,2023/8/1,102.7118681,105.0101318,102.1141365
2023/8/2,118.9266458,64.94990468,125.9063351,,2023/8/2,102.533658,105.1878117,102.1177765
2023/8/3,118.9803951,64.9556037,125.9627844,,2023/8/3,102.5799985,105.1970414,102.1635604
2023/8/4,119.7542345,65.04099195,126.0061677,,2023/8/4,103.2471709,105.3353295,102.1987469
2023/8/7,119.5557527,65.04388954,126.058796,,2023/8/7,103.0760481,105.3400223,102.2414317
2023/8/8,119.6287257,65.03329071,126.0840788,,2023/8/8,103.1389624,105.3228572,102.2619376
2023/8/9,119.6245787,65.06467395,126.1073172,,2023/8/9,103.1353871,105.3736831,102.2807854
2023/8/10,119.101818,65.04412854,126.0591443,,2023/8/10,102.6846843,105.3404093,102.2417142
2023/8/11,117.5274174,65.08856467,126.0909602,,2023/8/11,101.3273009,105.4123746,102.2675189
2023/8/14,116.3015541,65.181616,126.1519282,,2023/8/14,100.270412,105.5630733,102.3169676
2023/8/15,116.821269,65.50665216,126.4128574,,2023/8/15,100.7184888,106.0894766,102.5285973
2023/8/16,117.0698713,65.53492299,126.4794147,,2023/8/16,100.9328235,106.1352618,102.5825794
2023/8/17,117.3533474,65.39025252,126.4401234,,2023/8/17,101.1772249,105.9009648,102.5507117
2023/8/18,116.5966714,65.54992861,126.5021248,,2023/8/18,100.52485,106.1595638,102.6009986
2023/8/21,116.3738515,65.9620349,126.6145951,,2023/8/21,100.3327439,106.826979,102.692219
2023/8/22,116.2421195,65.9246401,126.5448389,,2023/8/22,100.21917,106.7664173,102.6356424
2023/8/23,115.6586484,65.98997002,126.5300644,,2023/8/23,99.71612517,106.8722206,102.6236593
2023/8/24,117.1869426,66.0724601,126.5019131,,2023/8/24,101.0337575,107.0058151,102.6008269
2023/8/25,117.3475035,65.94805891,126.4411541,,2023/8/25,101.1721865,106.8043446,102.5515476
2023/8/28,117.7252425,65.85013528,126.2866188,,2023/8/28,101.4978575,106.6457551,102.42621
2023/8/29,118.5718517,65.81514754,126.1354331,,2023/8/29,102.2277692,106.5890917,102.3035891
2023/8/30,118.7813969,65.8846514,126.3757864,,2023/8/30,102.4084304,106.7016547,102.4985305
2023/8/31,118.510047,65.95655414,126.3995631,,2023/8/31,102.1744836,106.8181028,102.5178148
2023/9/1,118.471315,65.69681935,126.2656734,,2023/9/1,102.1410906,106.3974566,102.409222
2023/9/4,118.8851067,65.39450075,125.962927,,2023/9/4,102.4978447,105.9078449,102.1636761
2023/9/5,118.5900682,65.41521573,126.0522329,,2023/9/5,102.2434747,105.9413933,102.2361087
2023/9/6,118.5345695,65.30747052,125.9561816,,2023/9/6,102.195626,105.7668975,102.1582051
2023/9/7,117.3419273,65.20675917,125.7999871,,2023/9/7,101.167379,105.6037932,102.0315218
2023/9/8,116.6488954,65.29679999,125.8996556,,2023/9/8,100.5698754,105.7496163,102.1123591
2023/9/11,116.6872751,65.22866296,125.900737,,2023/9/11,100.6029648,105.6392669,102.1132362
2023/9/12,116.5025091,65.25146648,125.9217776,,2023/9/12,100.4436671,105.6761977,102.1303014
2023/9/13,116.5095522,65.38153071,126.0482318,,2023/9/13,100.4497394,105.8868396,102.2328635
2023/9/14,116.5600778,65.59389338,126.1124054,,2023/9/14,100.4933005,106.2307657,102.2849123
2023/9/15,115.0443038,65.4606653,126.0478881,,2023/9/15,99.1864626,106.0149998,102.2325847
2023/9/18,116.5327423,65.16260223,125.9133398,,2023/9/18,100.4697329,105.5322801,102.1234578
2023/9/19,116.3988207,65.15034942,125.8988097,,2023/9/19,100.3542713,105.5124364,102.111673
2023/9/20,116.1633472,65.04719755,125.848435,,2023/9/20,100.1512557,105.3453797,102.070816
2023/9/21,115.2896507,65.17143234,125.9387638,,2023/9/21,99.39799059,105.5465807,102.1440782
2023/9/22,117.1398074,65.08797852,125.8518121,,2023/9/22,100.9931195,105.4114253,102.073555
2023/9/25,116.2980034,64.73790413,125.824615,,2023/9/25,100.2673508,104.8444721,102.0514965
2023/9/26,115.443892,64.50525126,125.681159,,2023/9/26,99.53097102,104.4676856,101.9351449
2023/9/27,115.3546366,64.5016329,125.3968028,,2023/9/27,99.45401876,104.4618256,101.7045146
2023/9/28,115.1020629,64.87600442,125.9467543,,2023/9/28,99.23626011,105.0681286,102.150559
2023/10/9,114.1494628,64.85181843,126.0504914,,2023/10/9,98.41496748,105.0289588,102.2346962
2023/10/10,113.7573146,64.64937094,125.9598114,,2023/10/10,98.07687345,104.7010906,102.1611491
2023/10/11,114.0153838,64.49009137,125.7314025,,2023/10/11,98.29937007,104.4431338,101.9758954
2023/10/12,114.3124326,64.49572114,125.7150533,,2023/10/12,98.55547331,104.4522514,101.9626352
2023/10/13,113.1165896,64.6842027,125.817036,,2023/10/13,97.5244667,104.7575014,102.0453495
2023/10/16,112.1847243,64.67991805,125.8286502,,2023/10/16,96.72105086,104.7505624,102.0547693
2023/10/17,112.0397542,64.57003529,125.7676456,,2023/10/17,96.59606359,104.5726048,102.0052909
2023/10/18,112.1084707,64.55493907,125.7432372,,2023/10/18,96.65530816,104.5481561,101.9854941
2023/10/19,108.683889,64.47800957,125.5167874,,2023/10/19,93.70277478,104.4235671,101.8018294
2023/10/20,109.1968015,64.56534852,125.6135512,,2023/10/20,94.14498679,104.5650145,101.8803109
2023/10/23,109.1602049,64.71201697,125.7263988,,2023/10/23,94.11343477,104.8025473,101.9718371
2023/10/24,108.9561592,64.51439441,125.6688531,,2023/10/24,93.93751496,104.4824931,101.9251641
2023/10/25,110.1296145,64.50483818,125.8158166,,2023/10/25,94.94921979,104.4670166,102.0443605
2023/10/26,110.0223794,64.50046319,125.965289,,2023/10/26,94.85676607,104.4599312,102.1655918
2023/10/27,110.4566711,64.53909032,125.9111555,,2023/10/27,95.23119455,104.5224887,102.1216862
2023/10/30,110.7616243,64.5554846,126.0801826,,2023/10/30,95.49411257,104.5490396,102.2587776
2023/10/31,110.8584885,64.66289759,126.1179569,,2023/10/31,95.57762491,104.7229973,102.2894148
2023/11/1,114.1875497,64.73785658,126.1437787,,2023/11/1,98.44780448,104.8443951,102.3103579
2023/11/2,114.1619539,64.91210259,126.2362495,,2023/11/2,98.42573676,105.1265904,102.3853574
2023/11/3,115.3752689,65.0335824,126.2293804,,2023/11/3,99.47180705,105.3233296,102.3797861
2023/11/6,115.6880463,64.99331122,126.1974648,,2023/11/6,99.74147084,105.2581096,102.3539007
2023/11/7,114.762573,64.89327749,126.2293852,,2023/11/7,98.94356585,105.0961027,102.3797901
2023/11/8,115.0877137,64.96828244,126.2412788,,2023/11/8,99.22388882,105.2175749,102.3894365
2023/11/9,114.9040397,64.96550268,126.2475402,,2023/11/9,99.06553263,105.213073,102.3945149
2023/11/10,114.1925814,65.00320237,126.2513724,,2023/11/10,98.45214257,105.2741285,102.397623
2023/11/13,113.8487628,65.12820258,126.4019451,,2023/11/13,98.15571635,105.4765691,102.5197467
2023/11/14,113.6880526,65.00977278,126.3915151,,2023/11/14,98.01715862,105.2847694,102.5112873
2023/11/15,113.9838353,65.03310046,126.389904,,2023/11/15,98.27217024,105.3225491,102.5099807
2023/11/16,113.4674844,65.11654271,126.4601604,,2023/11/16,97.82699377,105.4576857,102.5669629
2023/11/17,113.2717701,65.17922859,126.4718104,,2023/11/17,97.658257,105.5592069,102.5764118
2023/11/20,113.5338769,65.1243417,126.4048673,,2023/11/20,97.88423469,105.4703163,102.5221168
2023/11/21,114.4317324,65.09357099,126.3466318,,2023/11/21,98.65832872,105.4204825,102.4748842
2023/11/22,113.9589361,65.02831333,126.2004515,,2023/11/22,98.25070321,105.3147962,102.356323
2023/11/23,114.0892761,64.93145943,126.0440529,,2023/11/23,98.36307699,105.1579392,102.2294741
2023/11/24,113.71976,64.92958546,126.1341982,,2023/11/24,98.04449543,105.1549043,102.3025875
2023/11/27,113.0875572,64.88015645,126.1146347,,2023/11/27,97.49943621,105.0748529,102.2867204
2023/11/28,113.403745,65.00898191,126.1037232,,2023/11/28,97.7720403,105.2834886,102.2778705
2023/11/29,113.3930686,64.97899639,126.0566343,,2023/11/29,97.76283559,105.2349264,102.2396784
2023/11/30,114.0380229,65.10823763,126.1462466,,2023/11/30,98.31888858,105.4442354,102.3123595
2023/12/1,113.0256291,65.16407547,126.2405394,,2023/12/1,97.44604437,105.534666,102.3888368
2023/12/4,112.518454,65.11024666,126.1494671,,2023/12/4,97.00877883,105.4474891,102.3149715
2023/12/5,111.0029515,65.14125387,126.1327807,,2023/12/5,95.70217494,105.497706,102.3014379
2023/12/6,110.8774102,65.10029119,126.1163483,,2023/12/6,95.59393841,105.431366,102.2881101
2023/12/7,110.8561492,65.14791857,126.1842094,,2023/12/7,95.57560805,105.5084996,102.3431497
2023/12/8,111.0086984,65.194651,126.2471142,,2023/12/8,95.70712969,105.5841838,102.3941694
2023/12/11,110.9878494,65.32736649,126.4246719,,2023/12/11,95.68915457,105.7991195,102.5381796
2023/12/12,111.3851823,65.37959073,126.4130415,,2023/12/12,96.0317186,105.8836978,102.5287466
2023/12/13,109.6389188,65.49669753,126.5839103,,2023/12/13,94.52616218,106.0733548,102.6673317
2023/12/14,108.798071,65.60148789,126.4656254,,2023/12/14,93.80121775,106.2430652,102.5713954
2023/12/15,109.1867283,65.78336845,126.5765498,,2023/12/15,94.13630215,106.5376248,102.6613619
2023/12/18,109.620344,65.93567463,126.6766111,,2023/12/18,94.51014775,106.784288,102.7425178
2023/12/19,110.1516739,65.95938599,126.6646647,,2023/12/19,94.96823847,106.8226891,102.7328285
2023/12/20,109.3195778,66.053138,126.576739,,2023/12/20,94.25083948,106.9745225,102.6615153
2023/12/21,110.3766622,66.37558165,126.6248379,,2023/12/21,95.16221414,107.4967272,102.7005265
2023/12/22,110.5860684,66.57947489,126.7939351,,2023/12/22,95.34275551,107.8269368,102.8376747
2023/12/25,110.8433985,66.89532012,126.8971566,,2023/12/25,95.564615,108.3384552,102.9213937
2023/12/26,110.4044757,66.42368298,126.9935083,,2023/12/26,95.18619375,107.5746284,102.9995408
2023/12/27,110.195971,66.32550529,127.1160542,,2023/12/27,95.00642963,107.4156274,103.0989331
2023/12/28,112.4586921,66.33081547,127.2336763,,2023/12/28,96.95725462,107.4242274,103.1943319
2023/12/29,112.5474942,66.35534677,127.3466712,,2023/12/29,97.03381613,107.4639563,103.2859776
